"행정구역(시군구)별","항목",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"서울특별시","총전입 (명)",1721748,1555281,1520090,1573594,1589431,1515602,1472937,1439707,1426493,1578127,1418187
"서울특별시","총전출 (명)",1834806,1658928,1620640,1661425,1726687,1655859,1571423,1549937,1476081,1642977,1524430
"서울특별시","순이동 (명)",-113058,-103647,-100550,-87831,-137256,-140257,-98486,-110230,-49588,-64850,-106243
"부산광역시","총전입 (명)",508043,461042,478451,485710,507031,459015,439073,416095,411704,491829,441323
"부산광역시","총전출 (명)",532906,481652,496161,500802,520591,480407,467471,442854,435058,506176,460226
"부산광역시","순이동 (명)",-24863,-20610,-17710,-15092,-13560,-21392,-28398,-26759,-23354,-14347,-18903
"대구광역시","총전입 (명)",370563,348642,351873,350213,351424,328228,321182,321158,312419,347248,304761
"대구광역시","총전출 (명)",383310,359206,363224,365739,364364,337488,333118,335400,336092,364083,329080
"대구광역시","순이동 (명)",-12747,-10564,-11351,-15526,-12940,-9260,-11936,-14242,-23673,-16835,-24319
"인천광역시","총전입 (명)",499567,468666,461613,452297,473223,441646,409465,433639,420014,444556,433137
"인천광역시","총전출 (명)",470758,440872,439578,442973,463685,435869,411135,433706,422351,460304,421714
"인천광역시","순이동 (명)",28809,27794,22035,9324,9538,5777,-1670,-67,-2337,-15748,11423
"광주광역시","총전입 (명)",260561,228612,226696,243066,224603,213176,208138,218892,217130,226163,212888
"광주광역시","총전출 (명)",259282,230437,229288,246043,233875,221074,216256,225108,221005,232246,218771
"광주광역시","순이동 (명)",1279,-1825,-2592,-2977,-9272,-7898,-8118,-6216,-3875,-6083,-5883
"대전광역시","총전입 (명)",264244,239635,230858,239559,220774,219252,211449,212879,212424,232321,211565
"대전광역시","총전출 (명)",260900,239136,230547,248397,241390,229883,227624,227632,228766,243418,220496
"대전광역시","순이동 (명)",3344,499,311,-8838,-20616,-10631,-16175,-14753,-16342,-11097,-8931
"울산광역시","총전입 (명)",164963,161433,159492,176015,170393,148190,135199,127922,142056,136112,129880
"울산광역시","총전출 (명)",163091,157427,157185,173229,170473,155812,147116,140576,152228,149696,143554
"울산광역시","순이동 (명)",1872,4006,2307,2786,-80,-7622,-11917,-12654,-10172,-13584,-13674
"세종특별자치시","총전입 (명)",-,32784,23805,56526,83994,65052,82073,86433,82398,78934,76912
"세종특별자치시","총전출 (명)",-,15291,15109,23070,30950,35236,47383,55000,58674,65909,62827
"세종특별자치시","순이동 (명)",-,17493,8696,33456,53044,29816,34690,31433,23724,13025,14085
"경기도","총전입 (명)",2062422,1944962,1895434,1891775,1993080,1958593,1888324,2041715,1940962,2152572,2036215
"경기도","총전출 (명)",1986623,1862209,1821303,1834379,1898312,1824976,1772162,1871621,1806296,1984199,1885698
"경기도","순이동 (명)",75799,82753,74131,57396,94768,133617,116162,170094,134666,168373,150517
"강원도","총전입 (명)",236077,225896,217917,228369,227125,223484,211653,216398,217626,223354,217103
"강원도","총전출 (명)",231424,225184,214931,226284,222352,221592,209618,220252,215965,217897,210422
"강원도","순이동 (명)",4653,712,2986,2085,4773,1892,2035,-3854,1661,5457,6681
"충청북도","총전입 (명)",228594,212263,215973,215944,214626,202679,197177,218886,211396,229895,214300
"충청북도","총전출 (명)",220515,207622,212860,213577,213188,197668,194915,213737,208831,226441,210838
"충청북도","순이동 (명)",8079,4641,3113,2367,1438,5011,2262,5149,2565,3454,3462
"충청남도","총전입 (명)",321187,287195,281428,289627,289952,286764,288738,292305,258790,287127,282195
"충청남도","총전출 (명)",302546,277346,268053,279817,279680,271446,269337,282221,259584,286386,273673
"충청남도","순이동 (명)",18641,9849,13375,9810,10272,15318,19401,10084,-794,741,8522
"전라북도","총전입 (명)",308011,271835,258198,274337,261832,248188,232047,243324,228775,249083,223710
"전라북도","총전출 (명)",306290,275126,260395,276900,264662,252607,239253,257097,241523,257577,229511
"전라북도","순이동 (명)",1721,-3291,-2197,-2563,-2830,-4419,-7206,-13773,-12748,-8494,-5801
"전라남도","총전입 (명)",261239,239026,244329,260278,250104,234132,227504,224384,224483,239016,223619
"전라남도","총전출 (명)",266461,244080,246635,260874,246168,237337,230551,232414,233271,248770,228106
"전라남도","순이동 (명)",-5222,-5054,-2306,-596,3936,-3205,-3047,-8030,-8788,-9754,-4487
"경상북도","총전입 (명)",363511,335362,329118,337041,344730,315652,311061,309446,306511,317701,317866
"경상북도","총전출 (명)",358695,340222,330983,338029,345307,318803,316642,318671,311082,334679,314529
"경상북도","순이동 (명)",4816,-4860,-1865,-988,-577,-3151,-5581,-9225,-4571,-16978,3337
"경상남도","총전입 (명)",473757,414556,427658,462239,455384,411952,413179,389714,396251,403339,374782
"경상남도","총전출 (명)",469223,417328,423864,456164,450279,410180,409200,395524,405561,419997,388485
"경상남도","순이동 (명)",4534,-2772,3794,6075,5105,1772,3979,-5810,-9310,-16658,-13703
"제주특별자치도","총전입 (명)",82708,79501,88851,92508,97580,106825,105027,104202,94966,98114,94979
"제주특별자치도","총전출 (명)",80365,74625,81028,81396,83323,92193,91022,95349,92030,94736,91062
"제주특별자치도","순이동 (명)",2343,4876,7823,11112,14257,14632,14005,8853,2936,3378,3917
